Código UTA 2020;Código UTA 2010
220560140010000;220560140010000
220560140000017;220560140000017
220560140000004;220560140000004
220560140000019;220560140000019
140490378000078;140490378000078
140490378000092;140490378000092
140490378130000;140490378130000
140490378100000;140490378100000
260568056020000;260568056020000
260848112060000;260848112060000
064080408010002;064080408010002
064080408010001;064080408010001
064080408010003;064080408010003
820282455000018;820282455000018
820282455100000;820282455100000
820282455000004;820282455000004
740350077070002;740350077070002
740350077000076;740350077000076
740350077000024;740350077000024
740350077070001;740350077070001
380076007080000;380076007080000
380076007085000;380076007085000
380076007100000;380076007100000
380076007000119;380076007000119
380076007000136;380076007000136
380076007070000;380076007070000
380076007000116;380076007000116
380076007010000;380076007010000
380076007090000;380076007090000
380076007000132;380076007000132
260425014040000;260425014040000
620355098060000;620355098060000
861686259010000;861686259010000
500770077000049;500770077000049
500770077000092;500770077000092
500770077040000;500770077040000
500770077000079;500770077000079
500770077000112;500770077000112
500770077030000;500770077030000
500770077000044;500770077000044
500770077010000;500770077010000
500770077000124;500770077000124
500770077000048;500770077000048
500770077000106;500770077000106
500770077000054;500770077000054
500770077000141;500770077000141
500770077000084;500770077000084
500770077000038;500770077000038
500770077000027;500770077000027
500770077000097;500770077000097
500770077000129;500770077000129
500770077000149;500770077000149
500770077000108;500770077000108
500770077000042;500770077000042
500770077000086;500770077000086
500770077000109;500770077000109
140702371000035;140702371000035
140702371000037;140702371000037
140702371030000;140702371030000
140702371000052;140702371000052
140702371000060;140702371000060
140702371000020;140702371000020
820562903070000;820562903070000
820562903000001;820562903000001
820562903000023;820562903000023
780285028020000;780285028020000
061750175020000;061750175020000
061750175000009;061750175000009
061750175000004;061750175000004
061750175040000;061750175040000
061750175030000;061750175030000
061750175010000;061750175010000
060840084000007;060840084000007
060840084050000;060840084050000
060840084000005;060840084000005
060840084010000;060840084010000
060840084020000;060840084020000
060840084000003;060840084000003
060840084030000;060840084030000
060840084000017;060840084000017
060840084000004;060840084000004
060840084000011;060840084000011
060840084040000;060840084040000
300280115080000;300280115080000
220360091010000;220360091010000
220360091000022;220360091000022
141821666150000;141821666150000
300490168030000;300490168030000
660770189000049;660770189000049
660770189000028;660770189000028
660770189000059;660770189000059
660770189000029;660770189000029
660770189000045;660770189000045
660770189000044;660770189000044
660770189010000;660770189010000
660770189000010;660770189000010
660770189000005;660770189000005
100630161040003;100630161040003
100630161040001;100630161040001
100630161040004;100630161040004
100630161040002;100630161040002
100630161000004;100630161000004
100630161050000;100630161050000
100630161010000;100630161010000
100630161040006;100630161040006
100630161030000;100630161030000
100630161020000;100630161020000
100630161040005;100630161040005
065950595000012;065950595000012
065950595120000;065950595120000
065950595000013;065950595000013
065950595050000;065950595050000
065950595080000;065950595080000
065950595000006;065950595000006
065950595000016;065950595000016
065950595110001;065950595110001
065950595070000;065950595070000
065950595000010;065950595000010
065950595000057;065950595000057
065950595000048;065950595000048
065950595000004;065950595000004
065950595000015;065950595000015
065950595000049;065950595000049
065950595040000;065950595040000
065950595100000;065950595100000
065950595000035;065950595000035
065950595130000;065950595130000
065950595000020;065950595000020
065950595000055;065950595000055
065950595010000;065950595010000
065950595000009;065950595000009
065950595060001;065950595060001
065950595000038;065950595000038
065950595000005;065950595000005
065950595110002;065950595110002
065950595000002;065950595000002
065950595000044;065950595000044
065950595000041;065950595000041
065950595060002;065950595060002
065950595030000;065950595030000
065950595000029;065950595000029
065950595000045;065950595000045
065950595000032;065950595000032
065950595090000;065950595090000
065950595000039;065950595000039
065950595000025;065950595000025
065950595000043;065950595000043
065950595000022;065950595000022
065950595000037;065950595000037
065950595000007;065950595000007
820212182000028;820212182000028
820142028000009;820142028000009
820142028010000;820142028010000
661610413000134;661610413000134
661610413000104;661610413000104
661610413000079;661610413000079
661610413000070;661610413000070
661610413000056;661610413000056
661610413000050;661610413000050
661610413000065;661610413000065
661610413000127;661610413000127
661610413000105;661610413000105
661610413000066;661610413000066
661610413000029;661610413000029
661610413000106;661610413000106
661610413000132;661610413000132
661610413000133;661610413000133
661610413000007;661610413000007
661610413000140;661610413000140
661610413000035;661610413000035
661610413070000;661610413070000
661610413000006;661610413000006
661610413000014;661610413000014
661610413000071;661610413000071
661610413000131;661610413000131
661610413000141;661610413000141
661610413000081;661610413000081
661610413010000;661610413010000
661120280070000;661120280070000
661120280030000;661120280030000
661120280000005;661120280000005
300709495000106;300709495000106
420840280000005;420840280000005
420420280020000;420420280020000
820843407150000;820843407150000
220490133000011;220490133000011
220490133000006;220490133000006
220490133000013;220490133000013
220490133000004;220490133000004
220490133000012;220490133000012
220490133000005;220490133000005
220490133000002;220490133000002
220490133000009;220490133000009
220490133010000;220490133010000
740636294000091;740636294000091
740636294020000;740636294020000
740636294000181;740636294000181
740636294000067;740636294000067
