Nombre;Latitud;Longitud
LA ESCONDIDA;-27,10732485;-59,44753251
KILOMETRO 548;-27,09668174;-59,42115105
COLONIA EL CACIQUE LLORON;-27,04859208;-59,43743593
LEGUA 41;-27,08111444;-59,38577581
LAS CHACRAS;-30,28576787;-64,37897808
LOS CADILLOS;-30,10186689;-64,45199984
VILLA QUILINO;-30,21011575;-64,47756742
QUILINO;-30,21595522;-64,5029777
CARRENLEUFU;-43,58568854;-71,70090202
LAGO BLANCO;-45,94685942;-71,26411066
VILLA SANTOS TESEI;-34,61239445;-58,65381037
HURLINGHAM;-34,59309314;-58,63572095
WILLIAM C. MORRIS;-34,58156228;-58,65830054
ORATORIO MORANTE;-33,4335022;-60,40251923
GODOY;-33,36970987;-60,50941302
CAMPO LA VICTORIA;-33,4061679;-60,4776607
VILLA MERCEDES;-33,67736978;-65,47314337
LA RIVERA;-33,69417366;-65,50389419
DIQUE VULPIANI;-33,66154699;-65,53572689
LA RIBERA;-33,69181223;-65,50073106
SAN FRANCISCO DE ALFARCITO;-23,27530252;-65,94638046
SANTA ANA DE LA PUNA;-23,1466006;-66,03210333
TUSAQUILLAS;-23,17094554;-65,9732428
SANTA ANA;-23,1474247;-66,03121948
TRANCAS;-23,04800797;-66,13256073
RINCONADILLAS;-23,28866435;-65,94123354
SALADO;-23,04861069;-66,09285736
ABDON CASTRO TOLAY;-23,3386411;-66,09014323
SANTUARIO DE TRES POZOS;-23,51550696;-65,94761287
TOLARITO;-23,29167366;-66,08133698
28 DE JULIO;-43,38097713;-65,83868774
NAUPA HUEN;-39,82828459;-69,50897269
CHILCA JULIANA;-28,80748336;-63,48677734
EL MANZANO;-36,107008;-69,761199
LAS CHACRAS;-36,18867493;-69,66440582
MALARGUE;-35,47701071;-69,58864919
LA JUNTA;-35,2675837;-69,50030017
LUANCO;-37,18549347;-68,39237213
LAS LEÑAS;-35,15396508;-70,0817911
EL CHACAY;-35,35740405;-69,58238523
AGUA ESCONDIDA;-36,15323904;-68,30484285
MINACAR;-35,86965561;-70,06924439
EL INFIERNILLO;-36,75704193;-69,18418884
LOS CARRIZALES;-36,70020676;-68,37201691
EL VATRO;-36,7022934;-69,94219971
RINCON CHICO;-37,13733673;-69,58334351
LA SALINILLA;-36,2803421;-68,57088471
EL ALAMBRADO;-36,26989321;-69,85749485
CALMUCO;-36,47914887;-69,82659912
LLANO BLANCO;-35,91611481;-69,76875305
PATA MORA;-37,20100021;-69,1072464
RIO GRANDE;-35,87088253;-69,80667807
LOS CORRALES;-36,1494751;-68,34661102
EL CARAPACHO;-35,81309386;-69,19069223
LA VALENCIANA;-35,54667321;-69,90122162
LOS MOLLES;-35,1541609;-69,95182839
MOGOTES ASPEROS;-31,18595404;-65,24743587
OJO DE AGUA;-31,19116367;-65,36343883
ESTANCIA DE GUADALUPE;-31,12421016;-65,22690021
SAN FELIPE;-31,21560714;-65,35527449
TRES LOMAS;-31,14746857;-65,18268585
LA ARGENTINA;-31,22291155;-65,30273585
CORREA;-32,84946108;-61,25455691
BERRETTA;-32,92903431;-61,26562377
ESTACION BERRETA;-32,9365041;-61,2560121
EL CHALTEN;-49,33197312;-72,89162671
EL ARBOLITO;-33,9147838;-60,94380819
LOS BARRILES;-33,9462889;-61,2276668
COLONIA LA PERLA;-33,97042426;-61,07620535
SARASA;-34,05233531;-61,20190409
PEARSON;-33,6518963;-60,89222399
COLON;-33,89786336;-61,09956051
KILOMETRO 404;-37,6438;-59,8529
VILLA CACIQUE;-37,67047789;-59,40035334
EL SAUCE;-37,66079712;-59,56612397
BARKER;-37,64241113;-59,38893803
BENITO JUAREZ;-37,67664102;-59,80576771
CORONEL RODOLFO BUNGE;-37,5763984;-60,1392005
LOPEZ;-37,55451209;-59,62784615
SAN ANTONIO;-37,74727631;-59,81640244
EL LUCHADOR;-37,3214623;-60,292086
LA TINTA;-37,60838699;-59,51456452
TEDIN URIBURU;-37,36836863;-59,76303916
LOS CONQUISTADORES;-30,59440746;-58,46826271
GANCEDO;-27,48964879;-61,67387717
LA BOLSA;-27,38206532;-61,62596109
LABORDE;-33,15298918;-62,85607378
GENERAL GALARZA;-32,72127131;-59,3958887
MOJOTORO;-24,70934677;-65,28838348
ISLAS DE VAQUEROS;-24,603539;-65,380166
SANTA GERTRUDIS;-24,6632061;-65,31018829
LA CALDERILLA;-24,64152455;-65,38083679
LOS SAUCES;-24,4710331;-65,37662506
LOS PORONGOS;-24,53203392;-65,29351044
LA CALDERA;-24,60494862;-65,38233773
EL GALLINATO;-24,68660722;-65,28672685
CAMPO ALEGRE;-24,57701543;-65,36872897
LA FALDA DE SAN ANTONIO;-28,41984873;-65,6988378
EL HUECO;-28,41278845;-65,71753699
LA TERCENA;-28,37344735;-65,70812925
LA CARRERA;-28,34955768;-65,70911959
POMANCILLO;-28,30193901;-65,72743988
VILLA LAS PIRQUITAS;-28,27546652;-65,73343148
COLLAGASTA;-28,36167764;-65,72826902
SAN JOSE;-28,38873215;-65,70627013
POMANCILLO OESTE;-28,31784325;-65,74234472
POMANCILLO ESTE;-28,30871737;-65,72220984
SAN ANTONIO;-28,42377668;-65,70621343
CRUCE MUÑOZ;-37,1820692;-60,6463365
VILLA ALFREDO FORTABAT;-36,98027146;-60,27908284
CUARTEL II - AEROPUERTO;-36,9138115;-60,2275544
ESPIGAS;-36,41227324;-60,67306947
RECALDE;-36,65150162;-61,08450403
CAMPO ELSSIRY;-37,28472315;-60,34275563
EL PORVENIR;-36,5143954;-60,5474023
SIERRAS BAYAS;-36,92252382;-60,21579254
OLAVARRIA;-36,89209358;-60,31800466
CHACRAS DE PIBUEL;-36,90814079;-60,36517613
VIRGEN DE LA LOMA;-36,8185482;-60,385061
SAN PEDRO;-36,7927946;-60,6360127
CALERA AVELLANEDA;-36,98256235;-60,24344894
EL MIRADOR;-36,81259918;-60,35093689
SAN QUILCO;-37,0438314;-61,1407248
COLONIA SAN MIGUEL;-36,94956598;-60,11089541
SIERRA CHICA;-36,84323822;-60,22342714
LAS PIEDRITAS;-36,7335474;-60,5955954
VILLA LA SERRANIA;-36,99036321;-60,31080812
ITURREGUI;-36,8293322;-61,1255567
VILLA MONICA;-36,8993962;-60,1455471
BLANCAGRANDE;-36,53288871;-60,88245491
CERRO SOTUYO;-36,96120198;-60,10082793
COLONIA HINOJO;-36,88006945;-60,1780553
MAPIS;-36,7705364;-61,2818613
CAMPO BELGRANO;-36,7250646;-60,276205
VILLA ARRIETA;-36,94366054;-60,15782718
BLANCA CHICA;-36,8410918;-60,4478581
SAN GREGORIO;-36,7044536;-60,4280269
ROCHA;-37,14576871;-60,9774844
HINOJO;-36,8758996;-60,14731969
COLONIA NIEVAS;-36,86413703;-60,08164247
LA PARDA;-36,6551192;-60,7438976
SAN JACINTO;-36,9661162;-60,2584252
LA PROVIDENCIA;-37,0009645;-60,1886992
SANTA LUISA;-37,12896537;-60,40993039
POURTALE;-36,97264698;-60,43630862
LA MODERNA;-36,977116;-60,9859857
SAN ANTONIO;-36,6721853;-60,5713249
LA CARMELITA;-36,48106076;-60,81484788
LOS CHILENOS;-36,9332836;-60,721619
CAMPO STRIEBECK;-36,79628188;-60,31172109
COLONIA ITURRASPE;-31,4788195;-61,62158
COLONIA LA POSTA;-33,05094527;-61,48772334
AREQUITO;-33,14830084;-61,47133494
SAN JOSE DE AGUILAR;-22,34120267;-65,17109986
PUCALLPA;-22,27221734;-64,96329924
LIZOITE;-22,26085;-65,16353
LA SOLEDAD;-22,21907088;-64,89133406
HORNILLOS;-22,33043511;-65,1269968
EL PUESTO;-22,20926263;-64,9669281
LA FALDA;-22,2361511;-64,93101785
RODEO PAMPA;-22,24522781;-65,07801819
PUCARA;-22,18128;-64,95977
LA HUERTA;-22,23831;-65,01659
CAMPO LA PAZ;-22,36944976;-65,14637476
PUEBLO VIEJO;-22,39523315;-64,82989502
SAN FRANCISCO;-22,40886307;-65,25909424
SAN JOSE;-22,33417893;-65,17589569
ABRA DE SANTA CRUZ;-22,10361871;-65,02203878
SANTA CRUZ;-22,1498394;-65,02141571
CHORRO;-22,2872448;-64,92092133
SANTA VICTORIA;-22,2294615;-64,95032555
ABRA DE SAN ANTONIO;-22,17502;-64,93502
ANTIGAL;-22,16734;-64,9073
LAGUNA;-22,37389946;-65,17874146
SAN FELIPE;-22,30340389;-64,98355327
SANTA CRUZ DE AGUILAR;-22,15450164;-65,0182986
MECOYITA;-22,12536665;-64,90085004
ACOYTE;-22,26257081;-64,99934259
RIO PIEDRAS;-25,32118188;-64,91732943
LUMBRERAS;-25,21725758;-64,93068615
ARENALES;-25,14554787;-65,15400696
SAN RAMIREZ;-30,46341428;-59,34085823
LIHUEL CALEL;-38,01481736;-65,58481895
PUELCHES;-38,14377223;-65,91027908
GENERAL LAGOS;-33,11215889;-60,56657378
PAMPA LA PORTEÑA;-26,89174656;-61,11934234
CORZUELA NORTE;-26,89782559;-61,02852309
SAN ANTONIO;-26,84515126;-61,15683164
COLONIA JUAN LAVALLE;-27,10585501;-60,85750671
PAMPA ZAPPA;-26,95941313;-61,07284844
COLONIA SAN LORENZO;-26,9685688;-60,87346268
CAMPO CANTON;-26,96507701;-61,03071359
PAMPA ALSINA;-26,99396507;-60,85775195
CORZUELA;-26,95567601;-60,97075741
LA CIENAGA;-32,41791916;-65,48777771
LAS AGUADAS;-32,37635805;-65,50120414
TALA VERDE;-32,40896557;-65,56209159
EL PUESTO;-32,34642911;-65,46720015
LOS MOLLES;-32,35809326;-65,52952576
CAÑADON SECO;-46,55884577;-67,61685637
LA ESCALERA;-29,14089012;-67,1574707
LA TORRECITA;-29,17715073;-67,04329681
HUACO;-29,16052455;-67,09195563
VILLA SANAGASTA;-29,30644915;-67,04140974
ADROGUE;-34,80155807;-58,39146772
JOSE MARMOL;-34,78514425;-58,36814756
SAN JOSE;-34,76737719;-58,34327714
RAFAEL CALZADA;-34,79113675;-58,35059818
CLAYPOLE;-34,80447591;-58,34478255
MINISTRO RIVADAVIA;-34,8556895;-58,36164654
BURZACO;-34,83154159;-58,39868749
MALVINAS ARGENTINAS;-34,81895832;-58,42356106
GLEW;-34,88601142;-58,38183018
LONGCHAMPS;-34,86094503;-58,38914769
DON ORIONE;-34,82107516;-58,3447458
SAN FRANCISCO SOLANO;-34,78667436;-58,32193635
BELL VILLE;-32,62856008;-62,68911491
COLONIA COMPIANI;-32,567857;-62,6776939
CALETA OLIVIA;-46,44594923;-67,5251565
NUEVA VIZCAYA;-30,96851498;-58,61274793
TORTUGUITAS;-34,4918484;-58,78637803
DEL VISO;-34,4804958;-58,8042589
JOSE C. PAZ;-34,5211612;-58,77088111
GARZA;-28,16406406;-63,46934561
LA VIGIA;-34,3064955;-60,6245184
LA VUELTA;-34,3166668;-60,7466182
ROBERTO CANO;-34,08765152;-60,6672564
SANTA FELISA;-34,2870114;-60,6908135
LA SOLEDAD;-34,307846;-61,0004538
LA CALDERA;-34,18149567;-60,79748154
LOS INDIOS;-34,37356961;-60,65237103
LA CONCEPCION;-34,20364677;-60,95285202
LA ROJERA;-34,1578906;-60,7016991
LA BEBA;-34,15443879;-61,01287112
BARRIO LAS MARGARITAS;-34,19323742;-60,6820265
LAS CARABELAS;-34,03810027;-60,86852642
LAS POLVAREDAS;-34,1614703;-60,6092371
LA VUELTA CHICA;-34,35242462;-60,7453537
HUNTER;-34,2433108;-60,532499
VILLA MANUEL POMAR;-33,91595088;-60,93793802
LA TIGRA;-34,00621414;-60,98638916
ROJAS;-34,18722923;-60,71794119
ESTACION SOL DE MAYO;-34,26894485;-60,87177734
RAFAEL OBLIGADO;-34,35881325;-60,78456933
VILLA PARQUE CECIR;-34,1707176;-60,74383368
LA VERDE;-34,0764093;-60,9715417
SAN BASILIO;-34,4720436;-60,6832105
VILLA GENERAL MITRE;-29,13963572;-62,56239605
SAN ROQUE;-32,2162493;-64,6720222
CERRO PELADO;-32,2183924;-64,6415206
AMBOY;-32,17591652;-64,57654832
FLORIDA NEGRA;-48,42013168;-67,35490418
BELLA VISTA;-49,06422424;-68,32466888
EL SALADO;-48,73167419;-67,70140839
SUARDI;-30,53614535;-61,96168058
COLONIA SAN JOSE;-23,40235447;-65,39104516
ALONSO;-23,44775;-65,24884
VOLCAN DE YACORAITE;-23,326789;-65,47565899
YACORAITE;-23,40235447;-65,39104516
HUACALERA;-23,43416426;-65,35133414
LA TOMA;-33,05443762;-65,62269821
MAQUINCHAO;-41,24751656;-68,70034107
CALLE ANGOSTA;-35,83441;-58,47736003
NEWTON;-35,9302358;-58,7735013
SAN MARTIN;-35,8099286;-58,7384442
CHAS;-35,8738986;-58,5835485
GENERAL BELGRANO;-35,76945774;-58,49446151
LA VERDE;-35,7960497;-58,5902581
GORCHS;-35,67337296;-58,95829996
EL DESCANSO;-35,78064575;-58,49520841
